交易代号,交易名称,证券名称,市值（百万元）,板块,GTI 得分
MF6,Mun Siong Engg ,文祥机械,26.17,Industrial & Commercial Services,80
CJN,B&M Hldg,B&M Hldg,25.924,Banking & Investment Services,59
BQN,BH Global ,明辉环球企业,25.8,Industrial Goods,60
5AI,H2G Green,H2G Green,25.776,Cyclical Consumer Products,63
BEV,Swing Media Tech ,瑞盈传媒,25.484,Cyclical Consumer Services,50
UV1,Regal Intl ,耀杰,25.389,Real Estate,49
5KI,Soup Holdings ,三盅两件,25.372,Cyclical Consumer Services,74
OTX,Medinex ,迈怡汇,25.211,Industrial & Commercial Services,71
I06,Intraco ,新加坡国际贸易,25.02,Industrial & Commercial Services,65
BCV,Qian Hu ,仟湖鱼业,24.976,Food & Beverages,101
AJ2,Ouhua Energy ,欧华能源,24.881,Energy - Fossil Fuels,53
