logoid,dr_name
posco-chemical,浦项化学
power-assets-holdings-ltd,电能实业
ppg-industries,PPG工业
ppl,PPL能源
prada-group,普拉达
principal,信安金融
procore,Procore Technologies
procter-and-gamble,宝洁
progressive-ohio,前进保险
prologis,安博
prosus,Prosus
prudential,保诚
psbc,邮储银行
ptc,PTC
ptt-public-company-limited,泰国国家石油
public-service-enterprise,公共服务企业
public-storage,大众仓储
pulte-group,普得集团(帕尔迪)
pure-storage,Pure Storage
qiagen-nv,快而精医药
qinghai-salt-lake,盐湖股份
qorvo,Qorvo
qualcomm,高通
quanta-computer,广达
quanta-services,广达服务
quest-diagnostics,奎斯特诊疗
raymond-james,瑞杰金融
raytheon,雷神技术
realty-income,Realtyome
reckitt,利洁时
recruit,瑞可利控股
regal-beloit,Regal Rexnord
regency-centers,Regency Centers
regeneron-pharmaceuticals,再生元制药
regions-financial,地区金融
reliance-industrial-infrastructure,信实工业
reliance-steel-and-aluminium,Reliance Steel & Aluminum
relx,RELX
renaissancere,RenaissanceRe Holdings
renault,雷诺
renesas-electronics,瑞萨电子
rentokil-initial,能多洁
republic-services,共和废品处理
resmed,瑞思迈
resona-holdings,里索那控股
restaurant-brands-international,餐饮品牌国际
retailing,迅销
rexford-industrial-realty-5625-series-c-cumulative-redeemable-preferred-stock-par-value-001-per-share,Rexford Industrial Realty
richemont-n,历峰
rio-tinto,力拓
ritchie-bros-auctioneers,RB Global
rivian,Rivian Automotive
robinhood,Robinhood Markets
roblox,Roblox
roche,罗氏
rocket-companies,Rocketmpanies
rockwell-automation,罗克韦尔自动化
rogers-communications,罗杰斯通信
roku,Roku
rollins,Rollins
rolls-royce,劳斯莱斯
rongsheng-petro-ch,荣盛石化
roper-technologies,儒博实业
rosneft,俄罗斯石油
ross-stores,罗斯百货
rowe-price,普信集团
royal-bank-of-canada,加拿大皇家银行
royal-caribbean-cruises,皇家加勒比邮轮
royalty-pharma,Royalty Pharma
rpm-international,RPM International
rwe,RWE AG
ryanair,瑞安航空
ryan-specialty-group,Ryan Specialty Holdings
safran,赛峰
sage-group,赛捷集团
saia,Saia
saic-motor,上汽集团
salesforce,赛富时
samsara,Samsara
samsung,三星
s-and-p-global,标普全球
sands-china,金沙中国有限
sanofi,赛诺菲
santander,西班牙国际银行
sany-heavy-industry-coltd,三一重工
