isin,name,symbol,证券名称,industry,xetr_industry,category,currency,exchangeId,exchange_degiro,exchange_mic_code,exchange,isShortable,feedQuality,feedQualitySecondary,slug,name.originalValue,name.translations.others,name.translations.en,overview.lastPrice,changeToPrevDay,turnover,marketCapitalisation,overview.dateTimeLastPrice
GB00BD6K4575,Compass Group,XGR2,,Restaurants,,D,EUR,194,XET,XETR,Xetra,False,D15,,compass-group-ls-1105,"COMPASS GROUP LS-,1105",,,24.8,0.81300813,0.0,44119200000.0,2023-07-20T17:35:39+02:00
DE0005408686,OEKOWORLD,VVV3,,Financial Conglomerates,Diversified Financial,D,EUR,194,XET,XETR,Xetra,False,D15,,oekoworld-ag-na-vzo,OEKOWORLD AG VZNA O.N.,Ökoworld AG Vz,,38.2,-0.2610966058,0.0,276950000.0,2023-07-20T17:36:01+02:00
DE000A0Z2Y48,Verianos Real Estate,VROS,,Real Estate Development,Real Estate,D,EUR,194,XET,XETR,Xetra,False,D15,,verianos-se,VERIANOS SE INH O.N.,Verianos SE,,0.52,4.0,0.0,7150000.0,2023-07-20T17:36:15+02:00
DE0005479307,Varengold Bank,VG8,,Investment Banks/Brokers,Securities Brokers,C,EUR,194,XET,XETR,Xetra,False,CX,D15,varengold-bank-ag,VARENGOLD BANK AG,Varengold Bank AG,,2.2,0.0,0.0,22088000.0,2023-07-20T17:36:21+02:00
DE000A2E4LE9,Voltabox,VBX,,Electrical Products,Advanced Industrial Equipment,B,EUR,194,XET,XETR,Xetra,False,CX,D15,voltabox-ag,VOLTABOX AG INH. O.N.,Voltabox AG,,2.25,0.0,0.0,43087500.0,2023-07-20T17:36:25+02:00
DE0007846867,Viscom,V6C,,Industrial Machinery,Advanced Industrial Equipment,C,EUR,194,XET,XETR,Xetra,False,D15,,viscom-ag,VISCOM AG O.N.,Viscom AG,,9.1,0.5524861878,0.0,82082000.0,2023-07-20T17:36:08+02:00
DE0007501009,TTL Beteiligungs und Grundbesitz,TTO,,Financial Conglomerates,Real Estate,C,EUR,194,XET,XETR,Xetra,False,D15,,ttl-beteiligungs-und-grundbesitz-ag,TTL BET.GRDBES.AG INH ON,TTL Beteiligungs- und Grundbesitz-AG,,1.85,0.0,0.0,45491500.0,2023-07-20T17:36:15+02:00
IT0003497176,Telecom Italia SpA,TQIR,,Major Telecommunications,Telecommunications Services,D,EUR,194,XET,XETR,Xetra,False,D15,,telecom-italia-rnc,TELECOM ITALIA RNC,TELECOM ITALIA RNC,,0.2537,0.0,0.0,,2023-07-19T17:35:37+02:00
AT0000837307,Zumtobel Group,T9Z,,Electrical Products,,C,EUR,194,XET,XETR,Xetra,False,CX,D15,zumtobel-group-ag,ZUMTOBEL GROUP AG INH. A,Zumtobel Group AG,,7.75,0.5188067444,0.0,337125000.0,2023-07-20T17:35:36+02:00
US8969452015,Tripadvisor,T6A,,,,D,EUR,194,XET,XETR,Xetra,False,D15,,tripadvisor-inc,"TRIPADVISOR INC. DL -,001",Tripadvisor Inc.,,15.82,-1.8001241465,0.0,2192841840.0,2023-07-20T17:35:53+02:00
