证券代码,股票简称,流通市值,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
600696.SH,*ST岩石,5.72,-3.83,-3.65,1.99,-19.5,-32.59,-5.26,,0.0,9.24,15.89,76.35,0.02,扣非亏损,扣非亏损,亏损,-0.98
300604.SZ,长川科技,607.9,68.29,91.81,18.33,20.77,22.96,10.86,,0.0,128.89,48.18,51.23,0.02,1.91,8.84,5.95,0.14
002836.SZ,新宏泽,32.95,61.37,60.45,8.72,10.26,10.89,9.04,,0.0,-10.76,43.05,28.48,0.02,1.4,11.78,11.27,0.11
688480.SH,赛恩斯,101.64,102.96,94.32,9.29,6.64,6.72,4.71,,0.0,-10.78,34.9,41.57,0.02,2.7,28.43,30.64,0.06
002785.SZ,万里石,85.72,3742.98,-175.96,11.31,-0.34,0.23,0.88,,0.0,36.03,3.62,41.96,0.02,扣非亏损,扣非亏损,32547.67,-0.98
600358.SH,ST联合,32.01,-75.6,-49.08,43.69,-40.36,-46.62,-4.39,,0.0,-18.62,-24.15,84.36,0.02,扣非亏损,扣非亏损,亏损,-0.98
300558.SZ,贝达药业,181.39,43.06,47.21,3.11,5.91,5.5,4.76,,0.0,-6.74,8.97,38.97,0.02,5.26,15.98,15.66,0.09
600779.SH,水井坊,177.6,40.86,38.04,3.53,5.19,6.29,4.94,,0.0,-76.11,4.07,39.26,0.02,9.35,14.67,12.99,0.09
688627.SH,精智达,167.68,394.04,334.09,12.81,2.21,2.37,1.46,,0.0,-8.8,20.82,25.44,0.02,16.05,302.81,332.52,0.03
300731.SZ,科创新源,86.17,251.9,378.06,14.67,3.91,4.42,3.88,,0.0,89.78,23.47,45.32,0.02,16.11,193.3,113.98,0.03
600821.SH,金开新能,202.72,27.09,36.71,2.1,5.49,5.9,3.32,1.96,45.45,-26.07,24.68,71.49,0.02,1.49,6.69,4.59,0.17
002235.SZ,安妮股份,58.18,-3293.56,-616.74,8.1,-0.42,-0.19,-1.03,,0.0,-124.3,-4.3,36.33,0.02,扣非亏损,扣非亏损,亏损,-0.98
002059.SZ,云南旅游,50.04,-29.26,-16.72,4.01,-9.98,-9.75,-4.27,,0.0,16.96,-17.0,57.44,0.02,扣非亏损,扣非亏损,亏损,-0.98
920247.BJ,华密新材,25.86,107.02,125.62,7.73,4.87,5.45,4.92,,0.0,-23.69,4.77,24.3,0.02,26.35,51.6,39.27,0.04
002117.SZ,东港股份,57.7,35.16,35.0,4.09,8.53,8.73,7.4,,0.0,63.19,-0.17,26.56,0.02,-210.53,8.21,8.05,0.14
000593.SZ,德龙汇能,53.88,163.16,-1794.28,6.16,2.87,2.88,2.6,,0.0,-36.61,4.97,49.84,0.02,扣非亏损,危险信号,113.3,0.02
002436.SZ,兴森科技,361.61,232.09,-1215.21,7.55,2.88,2.55,0.48,,0.0,1195.59,4.96,60.98,0.02,扣非亏损,危险信号,182.03,0.02
688690.SH,纳微科技,104.99,73.07,78.16,5.6,5.26,5.94,5.36,,0.0,254.66,24.87,13.2,0.02,3.14,29.7,24.6,0.06
688520.SH,神州细胞,175.46,-52.5,-93.2,-24.23,-432.22,,-5.19,,0.0,-143.32,259.64,101.46,0.02,扣非亏损,扣非亏损,,-0.98
