证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,扣非净利润增速,营收增速,资产负债率,现金,扣非PEG,扣非市赚率,市赚率,财务健康度
002301.SZ,齐心集团,29.67,151.93,1.77,4.33,4.46,1.33,0.98,58.33,-14.43,12.02,64.21,0.71,12.63,35.1,6.65,0.74
920018.BJ,宏远股份,39.18,42.74,4.25,8.39,12.03,5.51,,0.0,-1.54,28.14,55.52,0.7,1.52,10.19,6.51,0.8
301665.SZ,泰禾股份,26.15,,3.65,11.09,11.05,10.33,,46.51,,9.28,36.24,0.7,,,2.37,1.12
301598.SZ,博科测试,37.25,34.44,4.09,7.87,7.9,3.94,1.91,86.01,17.35,8.42,52.44,0.7,4.09,4.38,4.71,0.93
600380.SH,健康元,14.22,15.87,1.39,7.2,7.46,7.22,1.77,0.0,-1.42,-0.42,33.13,0.7,-37.38,4.41,3.81,0.93
600657.SH,信达地产,-1.33,-1.58,0.51,-24.89,-25.06,-6.09,,0.0,-4963.95,-28.19,70.83,0.7,扣非亏损,扣非亏损,亏损,-0.3
600998.SH,九州通,9.86,15.7,0.98,5.3,7.3,3.16,3.91,0.0,-9.8,7.58,68.77,0.7,2.07,5.93,2.7,0.86
601811.SH,新华文轩,14.89,11.6,1.29,6.35,6.59,3.67,3.79,27.54,1.57,5.65,38.15,0.69,2.05,1.83,2.26,1.24
600741.SH,华域汽车,9.27,9.78,0.89,6.71,7.35,3.39,4.54,0.0,4.07,6.59,65.41,0.69,1.48,2.91,2.52,1.03
301668.SZ,昊创瑞通,46.54,,5.48,12.29,19.11,10.53,,0.0,,32.03,19.01,0.69,,,4.87,0.89
002996.SZ,顺博合金,16.68,27.17,1.7,5.68,7.55,2.69,0.75,0.0,133.71,11.93,77.96,0.68,2.28,9.57,4.42,0.79
920015.BJ,锦华新材,33.21,34.67,4.35,12.5,16.53,10.13,,0.0,-6.78,3.18,21.46,0.68,10.92,5.55,4.02,0.86
000913.SZ,钱江摩托,19.47,21.03,1.77,5.78,6.61,2.66,4.33,97.48,-37.67,13.21,55.18,0.67,1.59,3.64,2.95,0.95
600971.SH,恒源煤电,-58.57,127.63,0.65,-0.96,-0.81,0.2,4.99,0.0,-112.27,2.19,44.21,0.67,58.3,困境反转,亏损,0.68
002483.SZ,润邦股份,21.42,14.72,1.46,4.99,5.09,2.74,5.76,0.0,-1.49,29.27,60.16,0.67,0.5,5.9,8.42,0.84
000910.SZ,大亚圣象,41.63,77.91,0.6,0.91,1.09,0.56,2.41,0.0,-48.63,-15.08,29.54,0.67,-5.17,171.06,76.39,0.68
600727.SH,鲁北化工,64.96,47.92,1.17,1.27,1.36,1.74,1.35,0.0,-82.46,8.38,59.16,0.67,5.72,75.74,95.53,0.69
601801.SH,皖新传媒,10.42,17.39,1.09,6.59,8.0,4.44,2.72,0.0,0.76,2.53,37.83,0.67,6.88,5.28,2.6,0.86
600758.SH,辽宁能源,-36.1,147.57,0.88,-1.56,-1.83,0.4,1.51,0.0,-165.58,-1.6,57.24,0.67,-92.37,困境反转,亏损,0.7
000712.SZ,锦龙股份,54.01,-197.67,4.32,-2.74,6.15,,,0.0,17.98,49.11,80.12,0.67,扣非亏损,扣非亏损,17.56,-0.33
300616.SZ,尚品宅配,-30.74,-17.51,1.04,-2.78,-2.42,-0.97,7.35,0.0,31.75,-19.26,56.35,0.67,扣非亏损,扣非亏损,亏损,-0.33
