证券代码,股票简称,PE,扣非PE,PB,扣非ROE,ROE,ROA,股息率,分红比例,毛利率,净利率,扣非净利润增速,营收增速,商誉占比,资产负债率,扣非PEG,扣非市赚率,市赚率
300809.SZ,华辰装备,80.33,125.18,3.9,2.1,3.67,2.72,0.34,10.58,29.97,20.02,-58.34,34.05,,23.77,3.68,59.59,21.89
600826.SH,兰生股份,20.74,28.18,1.43,3.58,5.19,4.73,3.17,52.86,31.23,23.54,-13.95,-0.49,1.13,27.93,-57.55,7.88,4.0
605179.SH,一鸣食品,86.3,149.27,3.8,3.44,3.3,1.93,0.3,53.03,29.58,1.79,13.23,10.88,,60.19,13.72,43.39,26.15
603201.SH,常润股份,15.42,14.53,2.03,9.88,9.85,7.57,2.41,12.76,20.68,7.12,16.93,4.52,1.65,44.55,3.22,1.47,1.56
600927.SH,永安期货,38.92,37.46,1.72,3.3,3.34,,0.96,23.66,,2.24,-24.16,2.99,,80.56,12.51,11.36,11.65
300193.SZ,佳士科技,19.82,22.63,2.1,7.74,7.83,5.69,5.15,71.71,30.52,19.11,17.46,4.7,0.72,23.32,4.81,2.92,2.53
688680.SH,海优新材,-11.41,-9.45,2.17,-12.3,-12.11,-5.18,,-7.19,-0.21,-12.11,-157.39,57.45,,47.82,扣非亏损,扣非亏损,亏损
601811.SH,新华文轩,14.84,11.25,1.27,6.87,6.58,4.13,4.25,32.75,35.73,11.07,-3.91,9.73,4.38,39.67,1.16,1.64,2.26
300897.SZ,山科智能,28.13,27.45,2.42,5.86,6.47,5.43,1.17,71.86,42.88,13.06,1.44,19.94,0.09,20.36,1.38,4.68,4.35
688002.SH,睿创微纳,36.77,44.39,4.78,8.84,9.76,5.09,0.27,10.82,51.13,12.25,28.3,32.38,2.63,38.26,1.37,5.02,3.77
688046.SH,药康生物,46.24,62.21,2.85,3.38,4.61,3.64,0.79,16.05,63.65,19.27,-12.06,33.99,,16.19,1.83,18.4,10.03
603871.SH,嘉友国际,13.38,14.31,3.46,20.54,20.54,17.44,3.15,38.49,21.74,16.74,44.73,29.19,4.7,30.04,0.49,0.7,0.65
601009.SH,南京银行,4.97,5.63,0.72,9.45,11.31,,7.27,32.0,,43.5,11.35,9.66,0.12,92.83,0.58,0.6,0.44
600336.SH,澳柯玛,1729.92,-100.56,2.61,-0.87,0.11,0.56,0.5,31.89,13.58,0.08,-136.16,10.12,,65.51,扣非亏损,扣非亏损,15726.53
688628.SH,优利德,22.74,26.72,3.73,11.94,12.55,10.82,2.28,32.1,44.82,17.41,16.18,5.13,,22.26,5.21,2.24,1.81
002481.SZ,双塔食品,79.09,43.16,2.53,2.26,2.42,1.53,0.68,45.79,17.19,3.58,645.43,6.77,,43.94,6.37,19.09,32.68
002171.SZ,楚江新材,488.58,36.7,1.74,-0.27,0.25,1.11,2.01,53.74,2.46,0.14,-125.5,28.45,17.68,64.8,1.29,转盈,1954.34
000913.SZ,钱江摩托,15.82,19.57,2.16,9.81,10.15,4.16,3.21,57.31,27.05,9.42,32.29,13.54,,55.48,1.45,2.0,1.56
